a	b	c				
24088	262	0				
24088	266	0				
24088	270	0				
24088	272	0				
24088	276	0				
24088	278	0				
24088	280	0				
24088	284	0				
24088	286	0				
24088	290	0				
24088	292	0				
24088	296	0				
24088	300	0				
24088	306	0				
24088	308	0				
24088	312	0				
24088	314	0				
24088	316	0				
24088	320	0				
23988	37	0				
23988	41	0				
23988	45	0				
23988	47	0				
23988	49	0				
23988	53	0				
23988	57	0				
23988	59	0				
23988	61	0				
23988	63	0				
23988	67	0				
23988	71	0				
23988	73	0				
23988	75	0				
23988	77	0				
23988	79	0				
23988	83	0				
23988	87	0				
23988	91	0				
23988	95	0				
23988	99	0				
23988	103	0				
23988	107	0				
23988	111	0				
23988	113	0				
23988	115	0				
23988	119	0				
23988	123	0				
23988	127	0				
23988	129	0				
23988	131	0				
23854	22	0				
23854	24	0				
23854	26	0				
23854	30	0				
23854	34	0				
23854	38	0				
23854	42	0				
23854	46	0				
23854	50	0				
23854	54	0				
23854	56	0				
23854	60	0				
23854	62	0				
23854	66	0				
23854	68	0				
23854	72	0				
23854	76	0				
23854	80	0				
23854	84	0				
23854	86	0				
23854	88	0				
23854	90	0				
23854	92	0				
23854	94	0				
23854	96	0				
23854	100	0				
23854	102	0				
23854	104	0				
23854	106	0				
23854	108	0				
23854	110	0				
23854	114	0				
23854	118	0				
23854	120	0				
23854	124	0				
23854	128	0				
23854	130	0				
23854	132	0				
23854	136	0				
23854	140	0				
23854	142	0				
23854	146	0				
23854	150	0				
23854	154	0				
23854	156	0				
23854	158	0				
23854	160	0				
23854	164	0				
23854	168	0				
23854	170	0				
23738	36	0				
23738	40	0				
23738	44	0				
23738	48	0				
23738	50	0				
23738	54	0				
23738	58	0				
23738	60	0				
23738	64	0				
23738	66	0				
23738	70	0				
23738	74	0				
23738	78	0				
23738	80	0				
23738	84	0				
23738	88	0				
23738	92	0				
23738	94	0				
23738	98	0				
23738	100	0				
23738	104	0				
23738	108	0				
23738	112	0				
23738	116	0				
23738	118	0				
23738	122	0				
23738	126	0				
23738	130	0				
23738	134	0				
23738	136	0				
23738	140	0				
23738	142	0				
23738	144	0				
23738	146	0				
23738	150	0				
23738	154	0				
23738	156	0				
23738	158	0				
23738	162	0				
23738	166	0				
23738	170	0				
23738	172	0				
23738	176	0				
23738	178	0				
23738	180	0				
23738	184	0				
23738	186	0				
23738	190	0				
23738	192	0				
23738	196	0				
23738	198	0				
23738	200	0				
23738	204	0				
23738	208	0				
23738	212	0				
23738	214	0				
23738	218	0				
23586	37	0				
23586	39	0				
23586	43	0				
23586	47	0				
23586	49	0				
23586	53	0				
23586	57	0				
23586	61	0				
23586	65	0				
23586	67	0				
23586	69	0				
23586	71	0				
23586	75	0				
23586	77	0				
23586	81	0				
23586	83	0				
23586	87	0				
23586	91	0				
23586	93	0				
23586	95	0				
23586	99	0				
23586	101	0				
23586	103	0				
23586	107	0				
23439	80	0				
23439	84	0				
23439	86	0				
23439	88	0				
23439	92	0				
23439	94	0				
23439	96	0				
23439	98	0				
23439	100	0				
23439	102	0				
23439	106	0				
23439	110	0				
23439	114	0				
23439	118	0				
23439	122	0				
23439	124	0				
23439	126	0				
23439	130	0				
23439	134	0				
23439	138	0				
23439	142	0				
23439	146	0				
23439	148	0				
23439	152	0				
23439	154	0				
23439	158	0				
23439	162	0				
23439	164	0				
23439	166	0				
23439	170	0				
23439	174	0				
23439	178	0				
23439	182	0				
23439	186	0				
23439	190	0				
23439	194	0				
23439	198	0				
23439	202	0				
23439	206	0				
23439	208	0				
23439	210	0				
23439	214	0				
23439	218	0				
23439	220	0				
23439	222	0				
23439	224	0				
23439	226	0				
23439	228	0				
23439	230	0				
23439	232	0				
23439	236	0				
23439	238	0				
23439	240	0				
23439	244	0				
23439	248	0				
23439	250	0				
23439	254	0				
23439	258	0				
23439	260	0				
23439	262	0				
23439	266	0				
23439	268	0				
23439	272	0				
23439	274	0				
23439	276	0				
23439	280	0				
23439	282	0				
23439	286	0				
23439	288	0				
23439	292	0				
23439	294	0				
23439	298	0				
23439	302	0				
23439	304	0				
23439	308	0				
23439	312	0				
23439	314	0				
23439	316	0				
23439	320	0				
23439	324	0				
23439	326	0				
23262	89	0				
23262	91	0				
23262	95	0				
23262	97	0				
23262	99	0				
23262	103	0				
23262	107	0				
23262	111	0				
23262	113	0				
23262	117	0				
23262	121	0				
23262	125	0				
23262	127	0				
23262	129	0				
23262	133	0				
23262	137	0				
23262	139	0				
23262	143	0				
23262	145	0				
23262	147	0				
23262	149	0				
23262	151	0				
23262	155	0				
23262	157	0				
23262	159	0				
23262	163	0				
23262	165	0				
23262	167	0				
23262	171	0				
23262	175	0				
23262	179	0				
23262	183	0				
23262	187	0				
23081	83	0				
23081	87	0				
23081	91	0				
23081	95	0				
23081	97	0				
23081	99	0				
23081	103	0				
23081	107	0				
23081	109	0				
23081	113	0				
23081	115	0				
23081	119	0				
23081	121	0				
23081	125	0				
23081	129	0				
23081	131	0				
23081	135	0				
23081	137	0				
23081	139	0				
23081	143	0				
23081	147	0				
23081	151	0				
23081	153	0				
23081	157	0				
23081	161	0				
23081	163	0				
23081	167	0				
23081	173	0				
23081	175	0				
23081	179	0				
23081	183	0				
23081	185	0				
23081	189	0				
23081	193	0				
23081	195	0				
23081	197	0				
23081	199	0				
23081	201	0				
23081	205	0				
23081	207	0				
23081	211	0				
23081	215	0				
23081	219	0				
23081	223	0				
23081	225	0				
23081	227	0				
23081	229	0				
23081	233	0				
23081	235	0				
23081	237	0				
23081	239	0				
23081	241	0				
23081	243	0				
23081	245	0				
23081	247	0				
23081	249	0				
23081	253	0				
23081	255	0				
23081	259	0				
23081	261	0				
23081	265	0				
23081	269	0				
23081	271	0				
23081	275	0				
23081	279	0				
23081	283	0				
23081	285	0				
23081	287	0				
23081	291	0				
23081	293	0				
23081	295	0				
23081	297	0				
23081	301	0				
23081	303	0				
23081	307	0				
23081	309	0				
23081	313	0				
23081	317	0				
23081	321	0				
23081	323	0				
23081	327	0				
23081	331	0				
22917	26	0				
22917	30	0				
22917	34	0				
22917	38	0				
22917	42	0				
22917	44	0				
22917	48	0				
22917	52	0				
22917	56	0				
22917	60	0				
22917	64	0				
22917	68	0				
22917	72	0				
22917	76	0				
22917	78	0				
22917	82	0				
22917	88	0				
22917	92	0				
22917	96	0				
22917	100	0				
22917	102	0				
22917	104	0				
22917	108	0				
22917	112	0				
22917	114	0				
22917	118	0				
22917	122	0				
22917	126	0				
22917	128	0				
22917	132	0				
22917	134	0				
22917	136	0				
22917	140	0				
22917	142	0				
22917	144	0				
22917	146	0				
22917	150	0				
22917	152	0				
22917	156	0				
22917	160	0				
22917	164	0				
22917	168	0				
22917	172	0				
22917	174	0				
22917	178	0				
22917	182	0				
22917	186	0				
22814	52	0				
22814	56	0				
22814	58	0				
22814	62	0				
22814	64	0				
22814	68	0				
22814	70	0				
22814	74	0				
22814	76	0				
22814	80	0				
22814	84	0				
22814	86	0				
22814	88	0				
22814	92	0				
22814	94	0				
22814	96	0				
22814	98	0				
22814	100	0				
22814	102	0				
22814	104	0				
22814	106	0				
22814	110	0				
22814	114	0				
22814	118	0				
22814	120	0				
22814	124	0				
22814	126	0				
22814	128	0				
22814	130	0				
22814	132	0				
22814	136	0				
22814	140	0				
22814	142	0				
22814	146	0				
22814	148	0				
22659	79	0				
22659	83	0				
22659	85	0				
22659	89	0				
22659	91	0				
22659	93	0				
22659	95	0				
22659	99	0				
22659	103	0				
22659	105	0				
22659	109	0				
22659	113	0				
22659	115	0				
22659	119	0				
22659	121	0				
22659	125	0				
22659	129	0				
22659	133	0				
22659	135	0				
22659	137	0				
22659	139	0				
22659	141	0				
22659	143	0				
22512	50	0				
22512	54	0				
22512	58	0				
22512	60	0				
22512	64	0				
22512	68	0				
22512	70	0				
22512	74	0				
22512	76	0				
22512	78	0				
22512	82	0				
22512	84	0				
22512	88	0				
22512	90	0				
22512	94	0				
22512	98	0				
22512	100	0				
22512	102	0				
22512	104	0				
22512	106	0				
22512	108	0				
22512	110	0				
22512	114	0				
22512	118	0				
22512	120	0				
22512	122	0				
22512	126	0				
22512	130	0				
22512	134	0				
22512	136	0				
22512	138	0				
22512	142	0				
22512	144	0				
22343	21	0				
22343	25	0				
22343	27	0				
22343	31	0				
22343	35	0				
22343	37	0				
22343	41	0				
22343	45	0				
22343	49	0				
22343	53	0				
22343	57	0				
22343	59	0				
22343	63	0				
22343	67	0				
22343	71	0				
22343	75	0				
22343	79	0				
22343	83	0				
22343	85	0				
22343	87	0				
22343	91	0				
22343	95	0				
22343	97	0				
22343	101	0				
22343	105	0				
22343	109	0				
22343	113	0				
22343	115	0				
22343	117	0				
22343	119	0				
22343	123	0				
22343	125	0				
22343	129	0				
22343	133	0				
22343	137	0				
22343	141	0				
22343	145	0				
22343	149	0				
22343	153	0				
22343	155	0				
22343	157	0				
22343	161	0				
22343	163	0				
22343	165	0				
22343	169	0				
22343	171	0				
22343	175	0				
22343	177	0				
22343	181	0				
22343	183	0				
22343	187	0				
22343	189	0				
22343	193	0				
22343	197	0				
22343	201	0				
22343	205	0				
22343	209	0				
22343	211	0				
22343	215	0				
22343	219	0				
22343	221	0				
22343	225	0				
22343	229	0				
22343	233	0				
22343	237	0				
22343	239	0				
22343	243	0				
22343	245	0				
22343	249	0				
22343	251	0				
22343	253	0				
22343	257	0				
22343	259	0				
22243	96	0				
22243	98	0				
22243	100	0				
22243	102	0				
22243	106	0				
22243	108	0				
22243	110	0				
22243	112	0				
22243	116	0				
22243	118	0				
22243	122	0				
22243	124	0				
22243	126	0				
22243	130	0				
22243	132	0				
22243	136	0				
22243	138	0				
22243	140	0				
22243	144	0				
22243	146	0				
22243	150	0				
22243	154	0				
22243	158	0				
22243	162	0				
22243	164	0				
22243	168	0				
22243	172	0				
22243	176	0				
22243	180	0				
22243	184	0				
22243	188	0				
22243	190	0				
22243	192	0				
22243	194	0				
22243	196	0				
22056	44	0				
22056	46	0				
22056	48	0				
22056	50	0				
22056	52	0				
22056	54	0				
22056	58	0				
22056	60	0				
22056	64	0				
22056	66	0				
22056	68	0				
22056	70	0				
22056	74	0				
22056	78	0				
22056	82	0				
22056	84	0				
22056	88	0				
22056	90	0				
22056	92	0				
22056	96	0				
22056	100	0				
22056	102	0				
22056	104	0				
22056	108	0				
22056	110	0				
22056	114	0				
21873	28	0				
21873	32	0				
21873	36	0				
21873	38	0				
21873	42	0				
21873	44	0				
21873	46	0				
21873	48	0				
21873	50	0				
21873	54	0				
21873	56	0				
21873	58	0				
21873	60	0				
21873	62	0				
21873	64	0				
21873	68	0				
21873	70	0				
21873	72	0				
21873	74	0				
21873	76	0				
21873	80	0				
21873	84	0				
21873	88	0				
21873	90	0				
21873	94	0				
21873	98	0				
21873	100	0				
21873	104	0				
21873	108	0				
21873	112	0				
21873	116	0				
21873	118	0				
21873	120	0				
21873	124	0				
21873	128	0				
21873	136	0				
21873	140	0				
21873	142	0				
21873	146	0				
21873	150	0				
21873	154	0				
21873	156	0				
21873	160	0				
21873	162	0				
21873	164	0				
21873	166	0				
21873	170	0				
21873	174	0				
21873	178	0				
21873	182	0				
21873	186	0				
21873	190	0				
21873	194	0				
21873	196	0				
21873	198	0				
21873	200	0				
21873	202	0				
21873	204	0				
21873	206	0				
21873	210	0				
21873	214	0				
21873	216	0				
21873	218	0				
21873	220	0				
21873	222	0				
21873	226	0				
21873	228	0				
21873	232	0				
21873	234	0				
21873	236	0				
21873	238	0				
21873	240	0				
21873	244	0				
21873	248	0				
21873	252	0				
21873	256	0				
21873	258	0				
21873	260	0				
21873	262	0				
21873	264	0				
21873	266	0				
21873	270	0				
21873	272	0				
21873	276	0				
21873	280	0				
21873	282	0				
21873	284	0				
21873	286	0				
21873	290	0				
21873	292	0				
21873	294	0				
21873	298	0				
21721	64	0				
21721	68	0				
21721	72	0				
21721	74	0				
21721	76	0				
21721	80	0				
21721	82	0				
21721	86	0				
21721	90	0				
21721	92	0				
21721	94	0				
21721	96	0				
21721	98	0				
21721	102	0				
21721	104	0				
21721	108	0				
21721	110	0				
21721	114	0				
21721	116	0				
21721	120	0				
21721	124	0				
21721	128	0				
21721	132	0				
21721	136	0				
21721	138	0				
21721	142	0				
21721	146	0				
21721	150	0				
21721	154	0				
21721	156	0				
21721	158	0				
21721	162	0				
21721	166	0				
21721	170	0				
21721	172	0				
21721	174	0				
21721	176	0				
21721	178	0				
21721	180	0				
21721	182	0				
21721	186	0				
21721	188	0				
21721	194	0				
21721	198	0				
21721	202	0				
21721	204	0				
21721	208	0				
21721	212	0				
21721	214	0				
21721	218	0				
21721	222	0				
21721	224	0				
21721	228	0				
21721	230	0				
21721	232	0				
21721	234	0				
21721	238	0				
21721	240	0				
21721	244	0				
21721	246	0				
21544	58	0				
21544	62	0				
21544	64	0				
21544	68	0				
21544	70	0				
21544	72	0				
21544	76	0				
21544	80	0				
21544	84	0				
21544	88	0				
21544	90	0				
21544	92	0				
21544	96	0				
21544	100	0				
21544	102	0				
21544	104	0				
21544	106	0				
21544	110	0				
21544	114	0				
21544	116	0				
21544	120	0				
21544	124	0				
21544	128	0				
21544	132	0				
21544	134	0				
21544	136	0				
21544	138	0				
21544	142	0				
21544	144	0				
21544	146	0				
21544	148	0				
21544	150	0				
21544	154	0				
21544	158	0				
21544	160	0				
21544	162	0				
21544	166	0				
21544	170	0				
21544	172	0				
21544	176	0				
21544	180	0				
21544	182	0				
21544	184	0				
21544	188	0				
21544	190	0				
21544	194	0				
21544	196	0				
21544	198	0				
21544	204	0				
21544	208	0				
21544	210	0				
21544	212	0				
21544	214	0				
21544	218	0				
21544	220	0				
21544	222	0				
21544	224	0				
21544	226	0				
21544	228	0				
21544	232	0				
21544	234	0				
21544	236	0				
21544	238	0				
21544	242	0				
21544	244	0				
21544	246	0				
21544	250	0				
21544	252	0				
21544	256	0				
21544	258	0				
21544	260	0				
21544	262	0				
21544	264	0				
21544	268	0				
21544	272	0				
21544	276	0				
21544	280	0				
21544	282	0				
21544	284	0				
21544	286	0				
21544	288	0				
21544	290	0				
21544	294	0				
21425	45	0				
21425	49	0				
21425	53	0				
21425	55	0				
21425	59	0				
21425	61	0				
21425	63	0				
21425	67	0				
21425	71	0				
21425	73	0				
21425	77	0				
21425	81	0				
21425	83	0				
21425	87	0				
21425	89	0				
21425	93	0				
21425	95	0				
21425	97	0				
21425	101	0				
21425	103	0				
21425	107	0				
21425	111	0				
21425	115	0				
21425	119	0				
21425	121	0				
21425	125	0				
21425	129	0				
21425	131	0				
21425	133	0				
21425	135	0				
21425	139	0				
21425	141	0				
21425	145	0				
21425	147	0				
21425	149	0				
21425	151	0				
21425	153	0				
21425	157	0				
21425	159	0				
21425	163	0				
21425	167	0				
21425	169	0				
21425	173	0				
21425	175	0				
21425	179	0				
21425	181	0				
21425	185	0				
21425	189	0				
21425	191	0				
21425	193	0				
21425	197	0				
21425	201	0				
21425	203	0				
21425	207	0				
21425	211	0				
21425	213	0				
21425	215	0				
21425	219	0				
21425	223	0				
21425	225	0				
21425	227	0				
21425	231	0				
21425	235	0				
21425	239	0				
21425	243	0				
21425	247	0				
21425	251	0				
21425	255	0				
21425	257	0				
21425	261	0				
21425	263	0				
21425	265	0				
21425	267	0				
21425	271	0				
21425	273	0				
21425	277	0				
21425	281	0				
21425	283	0				
21425	287	0				
21425	291	0				
21425	293	0				
21425	295	0				
21425	299	0				
21425	303	0				
21425	305	0				
21425	307	0				
21425	311	0				
21425	313	0				
21425	315	0				
21425	317	0				
21425	319	0				
21425	323	0				
21425	325	0				
21425	327	0				
21425	329	0				
21425	333	0				
21240	83	0				
21240	87	0				
21240	89	0				
21240	91	0				
21240	95	0				
21240	99	0				
21240	101	0				
21240	105	0				
21240	109	0				
21240	111	0				
21240	113	0				
21240	115	0				
21240	117	0				
21240	119	0				
21240	123	0				
21240	127	0				
21240	131	0				
21240	133	0				
21240	137	0				
21240	141	0				
21240	145	0				
21240	147	0				
21240	151	0				
21240	153	0				
21240	157	0				
21240	165	0				
21240	169	0				
21240	173	0				
21240	175	0				
21240	179	0				
21240	183	0				
21240	185	0				
21240	187	0				
21240	189	0				
21240	191	0				
21240	195	0				
21240	199	0				
21240	203	0				
21240	205	0				
21240	207	0				
21240	209	0				
21240	213	0				
21240	217	0				
21240	221	0				
21240	225	0				
21240	227	0				
21240	229	0				
21240	231	0				
21240	235	0				
21055	55	0				
21055	59	0				
21055	61	0				
21055	63	0				
21055	67	0				
21055	71	0				
21055	75	0				
21055	77	0				
21055	81	0				
21055	83	0				
21055	85	0				
21055	87	0				
21055	91	0				
21055	93	0				
21055	95	0				
21055	99	0				
21055	101	0				
21055	105	0				
21055	109	0				
21055	113	0				
21055	115	0				
21055	117	0				
21055	121	0				
21055	125	0				
21055	127	0				
21055	131	0				
21055	135	0				
21055	137	0				
21055	141	0				
21055	145	0				
21055	149	0				
21055	153	0				
21055	157	0				
21055	159	0				
21055	163	0				
21055	167	0				
21055	169	0				
21055	173	0				
21055	177	0				
21055	181	0				
21055	183	0				
21055	185	0				
21055	187	0				
21055	189	0				
21055	191	0				
21055	195	0				
21055	199	0				
21055	203	0				
21055	205	0				
20897	67	0				
20897	71	0				
20897	73	0				
20897	77	0				
20897	79	0				
20897	83	0				
20897	87	0				
20897	89	0				
20897	91	0				
20897	95	0				
20897	97	0				
20897	99	0				
20897	103	0				
20897	105	0				
20897	109	0				
20897	111	0				
20897	113	0				
20897	115	0				
20897	119	0				
20897	121	0				
20897	123	0				
20897	125	0				
20897	127	0				
20897	131	0				
20897	133	0				
20753	59	0				
20753	63	0				
20753	65	0				
20753	69	0				
20753	73	0				
20753	77	0				
20753	81	0				
20753	83	0				
20753	85	0				
20753	87	0				
20753	91	0				
20753	93	0				
20753	95	0				
20753	99	0				
20753	103	0				
20753	105	0				
20753	109	0				
20753	113	0				
20753	115	0				
20753	117	0				
20753	121	0				
20753	123	0				
20753	127	0				
20753	129	0				
20753	133	0				
20753	137	0				
20753	141	0				
20753	143	0				
20753	145	0				
20753	149	0				
20753	153	0				
20753	157	0				
20753	161	0				
20753	165	0				
20753	167	0				
20753	169	0				
20753	171	0				
20753	175	0				
20753	179	0				
20753	181	0				
20753	185	0				
20753	189	0				
20753	191	0				
20753	193	0				
20753	197	0				
20753	201	0				
20753	205	0				
20753	207	0				
20753	211	0				
20753	213	0				
20753	217	0				
20753	219	0				
20753	221	0				
20753	223	0				
20753	225	0				
20753	227	0				
20753	229	0				
20753	231	0				
20753	233	0				
20753	237	0				
20753	241	0				
20753	245	0				
20753	247	0				
20753	249	0				
20753	251	0				
20753	255	0				
20753	257	0				
20753	259	0				
20753	263	0				
20753	265	0				
20753	269	0				
20753	271	0				
20753	275	0				
20753	279	0				
20753	283	0				
20753	285	0				
20753	289	0				
20753	293	0				
20753	295	0				
20753	299	0				
20753	303	0				
20753	307	0				
20753	309	0				
20753	311	0				
20753	315	0				
20753	317	0				
20753	319	0				
20753	323	0				
20753	327	0				
20649	31	0				
20649	35	0				
20649	37	0				
20649	39	0				
20649	41	0				
20649	43	0				
20649	45	0				
20649	49	0				
20649	51	0				
20649	53	0				
20649	55	0				
20649	57	0				
20649	61	0				
20649	65	0				
20649	69	0				
20649	71	0				
20649	73	0				
20649	75	0				
20649	77	0				
20649	79	0				
20649	83	0				
20649	87	0				
20649	89	0				
20649	91	0				
20649	93	0				
20649	97	0				
20649	99	0				
20649	103	0				
20649	107	0				
20649	109	0				
20649	111	0				
20649	113	0				
20649	117	0				
20649	121	0				
20649	123	0				
20649	125	0				
20649	127	0				
20649	131	0				
20649	133	0				
20649	137	0				
20649	139	0				
20649	143	0				
20649	147	0				
20649	151	0				
20649	153	0				
20649	157	0				
20649	159	0				
20649	163	0				
20649	165	0				
20649	167	0				
20649	171	0				
20649	173	0				
20649	175	0				
20649	179	0				
20649	181	0				
20649	183	0				
20649	185	0				
20649	189	0				
20649	191	0				
20649	193	0				
20649	197	0				
20649	201	0				
20649	205	0				
20649	209	0				
20649	213	0				
20649	217	0				
20649	219	0				
20649	223	0				
20649	227	0				
20649	229	0				
20649	231	0				
20649	233	0				
20649	237	0				
20649	241	0				
20649	243	0				
20649	245	0				
20649	247	0				
20649	249	0				
20649	251	0				
20649	255	0				
20649	257	0				
20649	259	0				
20649	263	0				
20649	265	0				
20649	267	0				
20649	269	0				
20649	271	0				
20649	275	0				
20649	277	0				
20649	281	0				
20649	283	0				
20649	285	0				
20649	287	0				
20497	29	0				
20497	31	0				
20497	35	0				
20497	39	0				
