kg	p	p/kg						100
43	516	12						
39	468	12						
39	468	12						
38	456	12						
37	444	12						
36	432	12						
35	420	12						
34	408	12						
34	408	12						
29	348	12						
28	336	12						
27	324	12						
27	324	12						
27	324	12						
24	288	12						
21	252	12						
17	204	12						
16	192	12						
16	192	12						
15	180	12						
14	168	12						
12	144	12						
11	132	12						
100	1300	13						
99	1287	13						
98	1274	13						
98	1274	13						
98	1274	13						
98	1274	13						
96	1248	13						
96	1248	13						
95	1235	13						
95	1235	13						
95	1235	13						
92	1196	13						
90	1170	13						
88	1144	13						
88	1144	13						
87	1131	13						
85	1105	13						
81	1053	13						
81	1053	13						
81	1053	13						
80	1040	13						
70	910	13						
70	910	13						
65	845	13						
60	780	13						
59	767	13						
59	767	13						
57	741	13						
57	741	13						
56	728	13						
56	728	13						
56	728	13						
55	715	13						
54	702	13						
54	702	13						
51	663	13						
49	637	13						
46	598	13						
46	598	13						
46	598	13						
45	585	13						
43	559	13						
38	494	13						
34	442	13						
32	416	13						
32	416	13						
31	403	13						
28	364	13						
25	325	13						
25	325	13						
24	312	13						
24	312	13						
23	299	13						
22	286	13						
19	247	13						
16	208	13						
15	195	13						
10	130	13						
99	1386	14						
97	1358	14						
96	1344	14						
95	1330	14						
95	1330	14						
94	1316	14						
94	1316	14						
92	1288	14						
91	1274	14						
91	1274	14						
89	1246	14						
89	1246	14						
89	1246	14						
84	1176	14						
80	1120	14						
79	1106	14						
76	1064	14						
74	1036	14						
74	1036	14						
72	1008	14						
72	1008	14						
72	1008	14						
67	938	14						
65	910	14						
64	896	14						
63	882	14						
62	868	14						
60	840	14						
59	826	14						
59	826	14						
55	770	14						
53	742	14						
53	742	14						
53	742	14						
52	728	14						
50	700	14						
50	700	14						
49	686	14						
45	630	14						
43	602	14						
43	602	14						
39	546	14						
36	504	14						
35	490	14						
34	476	14						
32	448	14						
32	448	14						
30	420	14						
28	392	14						
27	378	14						
26	364	14						
24	336	14						
15	210	14						
14	196	14						
14	196	14						
13	182	14						
12	168	14						
11	154	14						
100	1500	15						
99	1485	15						
99	1485	15						
98	1470	15						
95	1425	15						
95	1425	15						
93	1395	15						
92	1380	15						
91	1365	15						
89	1335	15						
85	1275	15						
83	1245	15						
82	1230	15						
81	1215	15						
81	1215	15						
80	1200	15						
79	1185	15						
75	1125	15						
74	1110	15						
72	1080	15						
71	1065	15						
70	1050	15						
69	1035	15						
68	1020	15						
67	1005	15						
67	1005	15						
64	960	15						
63	945	15						
61	915	15						
60	900	15						
59	885	15						
59	885	15						
58	870	15						
58	870	15						
58	870	15						
57	855	15						
55	825	15						
54	810	15						
50	750	15						
50	750	15						
45	675	15						
44	660	15						
42	630	15						
40	600	15						
35	525	15						
33	495	15						
32	480	15						
28	420	15						
26	390	15						
22	330	15						
20	300	15						
19	285	15						
15	225	15						
12	180	15						
12	180	15						
12	180	15						
11	165	15						
11	165	15						
11	165	15						
10	150	15						
100	1600	16						
98	1568	16						
97	1552	16						
97	1552	16						
90	1440	16						
90	1440	16						
84	1344	16						
84	1344	16						
80	1280	16						
77	1232	16						
76	1216	16						
75	1200	16						
75	1200	16						
68	1088	16						
66	1056	16						
64	1024	16						
61	976	16						
61	976	16						
61	976	16						
58	928	16						
55	880	16						
49	784	16						
48	768	16						
47	752	16						
47	752	16						
44	704	16						
43	688	16						
41	656	16						
39	624	16						
36	576	16						
33	528	16						
32	512	16						
29	464	16						
29	464	16						
26	416	16						
24	384	16						
20	320	16						
18	288	16						
17	272	16						
11	176	16						
10	160	16						
100	1700	17						
96	1632	17						
95	1615	17						
91	1547	17						
91	1547	17						
90	1530	17						
88	1496	17						
88	1496	17						
84	1428	17						
82	1394	17						
80	1360	17						
80	1360	17						
80	1360	17						
77	1309	17						
77	1309	17						
73	1241	17						
71	1207	17						
70	1190	17						
61	1037	17						
61	1037	17						
56	952	17						
55	935	17						
54	918	17						
54	918	17						
50	850	17						
49	833	17						
49	833	17						
47	799	17						
43	731	17						
41	697	17						
38	646	17						
38	646	17						
37	629	17						
35	595	17						
34	578	17						
33	561	17						
33	561	17						
32	544	17						
29	493	17						
24	408	17						
22	374	17						
21	357	17						
21	357	17						
21	357	17						
18	306	17						
18	306	17						
17	289	17						
14	238	17						
13	221	17						
13	221	17						
11	187	17						
97	1746	18						
93	1674	18						
92	1656	18						
91	1638	18						
90	1620	18						
90	1620	18						
87	1566	18						
85	1530	18						
83	1494	18						
76	1368	18						
73	1314	18						
71	1278	18						
70	1260	18						
69	1242	18						
69	1242	18						
66	1188	18						
65	1170	18						
65	1170	18						
62	1116	18						
62	1116	18						
59	1062	18						
55	990	18						
53	954	18						
53	954	18						
51	918	18						
46	828	18						
46	828	18						
45	810	18						
43	774	18						
42	756	18						
35	630	18						
33	594	18						
32	576	18						
32	576	18						
27	486	18						
27	486	18						
26	468	18						
26	468	18						
25	450	18						
25	450	18						
23	414	18						
21	378	18						
19	342	18						
16	288	18						
14	252	18						
10	180	18						
100	1900	19						
96	1824	19						
94	1786	19						
93	1767	19						
90	1710	19						
89	1691	19						
88	1672	19						
86	1634	19						
86	1634	19						
81	1539	19						
80	1520	19						
79	1501	19						
72	1368	19						
70	1330	19						
66	1254	19						
62	1178	19						
57	1083	19						
57	1083	19						
56	1064	19						
53	1007	19						
50	950	19						
47	893	19						
46	874	19						
45	855	19						
40	760	19						
37	703	19						
33	627	19						
33	627	19						
33	627	19						
32	608	19						
27	513	19						
27	513	19						
27	513	19						
25	475	19						
22	418	19						
20	380	19						
20	380	19						
17	323	19						
16	304	19						
14	266	19						
11	209	19						
11	209	19						
100	2000	20						
96	1920	20						
96	1920	20						
95	1900	20						
94	1880	20						
92	1840	20						
92	1840	20						
91	1820	20						
90	1800	20						
89	1780	20						
89	1780	20						
88	1760	20						
84	1680	20						
84	1680	20						
83	1660	20						
83	1660	20						
83	1660	20						
83	1660	20						
82	1640	20						
79	1580	20						
77	1540	20						
75	1500	20						
74	1480	20						
73	1460	20						
68	1360	20						
67	1340	20						
66	1320	20						
66	1320	20						
64	1280	20						
62	1240	20						
61	1220	20						
61	1220	20						
59	1180	20						
58	1160	20						
55	1100	20						
55	1100	20						
54	1080	20						
54	1080	20						
52	1040	20						
44	880	20						
44	880	20						
41	820	20						
40	800	20						
39	780	20						
39	780	20						
37	740	20						
37	740	20						
32	640	20						
30	600	20						
29	580	20						
27	540	20						
27	540	20						
27	540	20						
26	520	20						
26	520	20						
25	500	20						
25	500	20						
24	480	20						
22	440	20						
19	380	20						
16	320	20						
16	320	20						
15	300	20						
15	300	20						
15	300	20						
12	240	20						
12	240	20						
99	2079	21						
98	2058	21						
96	2016	21						
91	1911	21						
91	1911	21						
91	1911	21						
90	1890	21						
89	1869	21						
89	1869	21						
88	1848	21						
87	1827	21						
86	1806	21						
86	1806	21						
86	1806	21						
82	1722	21						
82	1722	21						
81	1701	21						
79	1659	21						
78	1638	21						
72	1512	21						
72	1512	21						
71	1491	21						
69	1449	21						
69	1449	21						
68	1428	21						
65	1365	21						
65	1365	21						
64	1344	21						
62	1302	21						
61	1281	21						
60	1260	21						
58	1218	21						
58	1218	21						
54	1134	21						
51	1071	21						
49	1029	21						
46	966	21						
43	903	21						
39	819	21						
38	798	21						
37	777	21						
35	735	21						
29	609	21						
28	588	21						
27	567	21						
27	567	21						
27	567	21						
26	546	21						
22	462	21						
20	420	21						
16	336	21						
15	315	21						
14	294	21						
14	294	21						
14	294	21						
13	273	21						
11	231	21						
11	231	21						
11	231	21						
10	210	21						
98	2156	22						
98	2156	22						
96	2112	22						
96	2112	22						
94	2068	22						
93	2046	22						
90	1980	22						
88	1936	22						
87	1914	22						
87	1914	22						
82	1804	22						
80	1760	22						
71	1562	22						
70	1540	22						
70	1540	22						
68	1496	22						
67	1474	22						
66	1452	22						
66	1452	22						
65	1430	22						
63	1386	22						
62	1364	22						
60	1320	22						
58	1276	22						
57	1254	22						
52	1144	22						
52	1144	22						
44	968	22						
42	924	22						
42	924	22						
41	902	22						
40	880	22						
38	836	22						
35	770	22						
32	704	22						
29	638	22						
27	594	22						
23	506	22						
22	484	22						
21	462	22						
20	440	22						
19	418	22						
16	352	22						
16	352	22						
14	308	22						
14	308	22						
11	242	22						
11	242	22						
97	2231	23						
94	2162	23						
92	2116	23						
90	2070	23						
87	2001	23						
84	1932	23						
82	1886	23						
79	1817	23						
78	1794	23						
78	1794	23						
77	1771	23						
77	1771	23						
77	1771	23						
76	1748	23						
76	1748	23						
71	1633	23						
68	1564	23						
68	1564	23						
62	1426	23						
62	1426	23						
61	1403	23						
60	1380	23						
59	1357	23						
55	1265	23						
52	1196	23						
51	1173	23						
50	1150	23						
48	1104	23						
48	1104	23						
47	1081	23						
46	1058	23						
45	1035	23						
44	1012	23						
42	966	23						
40	920	23						
39	897	23						
32	736	23						
31	713	23						
30	690	23						
28	644	23						
25	575	23						
23	529	23						
23	529	23						
21	483	23						
21	483	23						
20	460	23						
20	460	23						
17	391	23						
16	368	23						
16	368	23						
13	299	23						
10	230	23						
100	2400	24						
100	2400	24						
97	2328	24						
97	2328	24						
94	2256	24						
89	2136	24						
88	2112	24						
87	2088	24						
81	1944	24						
80	1920	24						
80	1920	24						
79	1896	24						
77	1848	24						
75	1800	24						
74	1776	24						
73	1752	24						
70	1680	24						
68	1632	24						
68	1632	24						
67	1608	24						
65	1560	24						
65	1560	24						
64	1536	24						
63	1512	24						
63	1512	24						
62	1488	24						
61	1464	24						
61	1464	24						
59	1416	24						
57	1368	24						
57	1368	24						
57	1368	24						
56	1344	24						
55	1320	24						
54	1296	24						
54	1296	24						
53	1272	24						
52	1248	24						
52	1248	24						
47	1128	24						
47	1128	24						
45	1080	24						
42	1008	24						
41	984	24						
39	936	24						
39	936	24						
38	912	24						
33	792	24						
33	792	24						
31	744	24						
27	648	24						
27	648	24						
24	576	24						
23	552	24						
20	480	24						
20	480	24						
18	432	24						
18	432	24						
18	432	24						
17	408	24						
17	408	24						
12	288	24						
97	2425	25						
95	2375	25						
94	2350	25						
90	2250	25						
89	2225	25						
88	2200	25						
88	2200	25						
86	2150	25						
86	2150	25						
84	2100	25						
84	2100	25						
82	2050	25						
81	2025	25						
80	2000	25						
79	1975	25						
78	1950	25						
76	1900	25						
74	1850	25						
72	1800	25						
72	1800	25						
71	1775	25						
66	1650	25						
62	1550	25						
60	1500	25						
58	1450	25						
58	1450	25						
57	1425	25						
53	1325	25						
53	1325	25						
49	1225	25						
47	1175	25						
46	1150	25						
41	1025	25						
41	1025	25						
38	950	25						
36	900	25						
29	725	25						
24	600	25						
24	600	25						
22	550	25						
22	550	25						
15	375	25						
13	325	25						
10	250	25						
