						10000	100000
1108	D	127617	0				
1109	A	128725	1				
1109	C	129834	0				
1111	E	130943	0				
1111	C	132054	0				
1112	D	133165	0				
1112	D	134277	0				
1113	B	135389	0				
1113	A	136502	1				
1114	A	137615	1				
1114	B	138729	0				
1115	B	139843	0				
1116	D	140958	0				
1118	C	142074	0				
1119	A	143192	1				
1119	B	144311	0				
1122	B	145430	0				
1124	B	146552	0				
1124	B	147676	0				
1125	E	148800	0				
1125	A	149925	1				
1127	D	151050	0				
1129	A	152177	1				
1130	B	153306	0				
1132	C	154436	0				
1132	C	155568	0				
1132	A	156700	1				
1135	A	157832	1				
1135	B	158967	0				
1137	A	160102	1				
1137	E	161239	0				
1138	A	162376	1				
1140	D	163514	0				
1141	E	164654	0				
1141	D	165795	0				
1142	C	166936	0				
1143	A	168078	1				
1143	E	169221	0				
1145	A	170364	1				
1145	C	171509	0				
1146	C	172654	0				
1148	B	173800	0				
1150	B	174948	0				
1150	A	176098	1				
1152	D	177248	0				
1155	A	178400	1				
1155	D	179555	0				
1161	A	180710	1				
1162	C	181871	0				
1163	E	183033	0				
1165	A	184196	1				
1165	C	185361	0				
1167	A	186526	1				
1168	C	187693	0				
1169	D	188861	0				
1170	A	190030	1				
1170	D	191200	0				
1171	E	192370	0				
1171	C	193541	0				
1171	D	194712	0				
1174	D	195883	0				
1174	E	197057	0				
1175	D	198231	0				
1178	D	199406	0				
1178	C	200584	0				
1178	A	201762	1				
1179	D	202940	0				
1179	E	204119	0				
1179	C	205298	0				
1181	E	206477	0				
1181	A	207658	1				
1181	A	208839	1				
1182	E	210020	0				
1185	C	211202	0				
1187	C	212387	0				
1188	D	213574	0				
1192	B	214762	0				
1193	E	215954	0				
1194	C	217147	0				
1194	D	218341	0				
1194	E	219535	0				
1194	D	220729	0				
1195	A	221923	1				
1197	A	223118	1				
1198	B	224315	0				
1199	A	225513	1				
1200	E	226712	0				
1202	B	227912	0				
1202	D	229114	0				
1202	B	230316	0				
1202	D	231518	0				
1204	C	232720	0				
1206	D	233924	0				
1206	D	235130	0				
1206	B	236336	0				
1208	D	237542	0				
1208	E	238750	0				
1208	A	239958	1				
1210	C	241166	0				
1212	E	242376	0				
1212	D	243588	0				
1212	A	244800	1				
1213	B	246012	0				
1214	E	247225	0				
1214	D	248439	0				
1216	C	249653	0				
1216	A	250869	1				
1216	B	252085	0				
1217	D	253301	0				
1218	C	254518	0				
1219	A	255736	1				
1222	D	256955	0				
1224	E	258177	0				
1224	C	259401	0				
1224	C	260625	0				
1225	E	261849	0				
1225	C	263074	0				
1225	A	264299	1				
1226	E	265524	0				
1227	E	266750	0				
1229	C	267977	0				
1230	B	269206	0				
1230	D	270436	0				
1233	A	271666	1				
1234	A	272899	1				
1236	C	274133	0				
1236	E	275369	0				
1237	D	276605	0				
1241	B	277842	0				
1241	D	279083	0				
1242	A	280324	1				
1242	E	281566	0				
1242	D	282808	0				
1243	E	284050	0				
1243	E	285293	0				
1244	C	286536	0				
1245	C	287780	0				
1245	E	289025	0				
1247	B	290270	0				
1247	C	291517	0				
1247	A	292764	1				
1247	B	294011	0				
1247	B	295258	0				
1248	D	296505	0				
1249	D	297753	0				
1250	C	299002	0				
1251	E	300252	0				
1251	E	301503	0				
1252	E	302754	0				
1252	A	304006	1				
1252	D	305258	0				
1252	B	306510	0				
1252	E	307762	0				
1254	B	309014	0				
1254	A	310268	1				
1255	B	311522	0				
1255	C	312777	0				
1256	B	314032	0				
1257	C	315288	0				
1257	D	316545	0				
1258	B	317802	0				
1258	D	319060	0				
1258	E	320318	0				
1258	D	321576	0				
1260	E	322834	0				
1267	E	324094	0				
1269	A	325361	1				
1272	C	326630	0				
1273	D	327902	0				
1274	E	329175	0				
1274	C	330449	0				
1275	E	331723	0				
1276	A	332998	1				
1276	C	334274	0				
1276	B	335550	0				
1276	A	336826	1				
1276	D	338102	0				
1278	D	339378	0				
1278	C	340656	0				
1280	B	341934	0				
1281	A	343214	1				
1281	D	344495	0				
1281	C	345776	0				
1282	D	347057	0				
1283	A	348339	1				
1285	B	349622	0				
1285	E	350907	0				
1285	D	352192	0				
1286	B	353477	0				
1286	A	354763	1				
1286	A	356049	1				
1288	A	357335	1				
1293	B	358623	0				
1293	D	359916	0				
1293	E	361209	0				
1293	E	362502	0				
1295	A	363795	1				
1295	E	365090	0				
1297	B	366385	0				
1300	B	367682	0				
1302	D	368982	0				
1302	D	370284	0				
1303	A	371586	1				
1303	A	372889	1				
1303	D	374192	0				
1304	A	375495	1				
1305	C	376799	0				
1307	B	378104	0				
1308	B	379411	0				
1308	E	380719	0				
1309	E	382027	0				
1309	C	383336	0				
1311	B	384645	0				
1311	D	385956	0				
1313	A	387267	1				
1314	C	388580	0				
1315	C	389894	0				
1316	D	391209	0				
1316	C	392525	0				
1317	C	393841	0				
1317	C	395158	0				
1318	C	396475	0				
1320	D	397793	0				
1321	A	399113	1				
1323	A	400434	1				
1325	A	401757	1				
1327	B	403082	0				
1327	A	404409	1				
1327	B	405736	0				
1330	D	407063	0				
1331	B	408393	0				
1331	C	409724	0				
1332	D	411055	0				
1333	B	412387	0				
1334	E	413720	0				
1336	B	415054	0				
1342	A	416390	1				
1343	E	417732	0				
1344	C	419075	0				
1344	B	420419	0				
1345	C	421763	0				
1346	C	423108	0				
1347	B	424454	0				
1349	E	425801	0				
1352	C	427150	0				
1352	D	428502	0				
1357	A	429854	1				
1359	D	431211	0				
1359	B	432570	0				
1362	B	433929	0				
1362	B	435291	0				
1362	D	436653	0				
1363	D	438015	0				
1363	C	439378	0				
1364	D	440741	0				
1364	B	442105	0				
1365	E	443469	0				
1367	A	444834	1				
1368	A	446201	1				
1368	A	447569	1				
1369	B	448937	0				
1371	C	450306	0				
1372	D	451677	0				
1374	E	453049	0				
1374	E	454423	0				
1375	D	455797	0				
1376	D	457172	0				
1376	B	458548	0				
1377	A	459924	1				
1377	D	461301	0				
1378	B	462678	0				
1379	C	464056	0				
1380	B	465435	0				
1381	E	466815	0				
1381	A	468196	1				
1381	B	469577	0				
1382	A	470958	1				
1382	A	472340	1				
1382	B	473722	0				
1383	A	475104	1				
1384	B	476487	0				
1385	E	477871	0				
1385	D	479256	0				
1386	E	480641	0				
1386	E	482027	0				
1387	A	483413	1				
1388	E	484800	0				
1388	B	486188	0				
1388	A	487576	1				
1388	C	488964	0				
1389	B	490352	0				
1390	E	491741	0				
1392	E	493131	0				
1393	B	494523	0				
1394	E	495916	0				
1394	B	497310	0				
1394	D	498704	0				
1394	B	500098	0				
1398	B	501492	0				
1398	A	502890	1				
1399	A	504288	1				
1401	D	505687	0				
1401	B	507088	0				
1401	C	508489	0				
1403	A	509890	1				
1403	C	511293	0				
1405	D	512696	0				
1408	B	514101	0				
1410	B	515509	0				
1410	C	516919	0				
1410	E	518329	0				
1416	A	519739	1				
1417	A	521155	1				
1420	B	522572	0				
1420	D	523992	0				
1420	A	525412	1				
1421	B	526832	0				
1422	B	528253	0				
1423	D	529675	0				
1423	A	531098	1				
1424	D	532521	0				
1425	E	533945	0				
1425	D	535370	0				
1425	B	536795	0				
1427	A	538220	1				
1427	B	539647	0				
1427	B	541074	0				
1428	A	542501	1				
1429	B	543929	0				
1431	B	545358	0				
1432	C	546789	0				
1432	E	548221	0				
1433	C	549653	0				
1433	B	551086	0				
1433	D	552519	0				
1434	B	553952	0				
1435	B	555386	0				
1436	C	556821	0				
1436	E	558257	0				
1437	C	559693	0				
1439	C	561130	0				
1440	B	562569	0				
1441	D	564009	0				
1441	D	565450	0				
1443	E	566891	0				
1444	C	568334	0				
1444	C	569778	0				
1444	A	571222	1				
1446	A	572666	1				
1446	D	574112	0				
1447	A	575558	1				
1447	C	577005	0				
1448	B	578452	0				
1448	E	579900	0				
1448	C	581348	0				
1449	D	582796	0				
1450	A	584245	1				
1450	B	585695	0				
1451	B	587145	0				
1452	D	588596	0				
1454	D	590048	0				
1454	A	591502	1				
1454	E	592956	0				
1456	B	594410	0				
1456	C	595866	0				
1457	A	597322	1				
1458	D	598779	0				
1458	E	600237	0				
1459	D	601695	0				
1460	A	603154	1				
1460	B	604614	0				
1461	D	606074	0				
1461	C	607535	0				
1461	C	608996	0				
1462	B	610457	0				
1462	C	611919	0				
1463	E	613381	0				
1464	D	614844	0				
1466	B	616308	0				
1467	B	617774	0				
1468	A	619241	1				
1468	E	620709	0				
1469	D	622177	0				
1470	C	623646	0				
1471	D	625116	0				
1471	E	626587	0				
1472	C	628058	0				
1474	C	629530	0				
1474	A	631004	1				
1475	A	632478	1				
1475	E	633953	0				
1476	A	635428	1				
1477	B	636904	0				
1477	B	638381	0				
1477	C	639858	0				
1478	C	641335	0				
1479	B	642813	0				
1480	C	644292	0				
1481	D	645772	0				
1482	E	647253	0				
1483	B	648735	0				
1484	A	650218	1				
1484	D	651702	0				
1484	D	653186	0				
1485	D	654670	0				
1486	B	656155	0				
1486	D	657641	0				
1487	A	659127	1				
1491	C	660614	0				
1492	E	662105	0				
1492	E	663597	0				
1493	B	665089	0				
1493	E	666582	0				
1495	A	668075	1				
1495	D	669570	0				
1495	E	671065	0				
1498	B	672560	0				
1498	A	674058	1				
1500	B	675556	0				
1500	E	677056	0				
1500	C	678556	0				
1501	B	680056	0				
1502	C	681557	0				
1502	E	683059	0				
1503	C	684561	0				
1503	A	686064	1				
1503	E	687567	0				
1504	B	689070	0				
1504	A	690574	1				
1505	A	692078	1				
1506	E	693583	0				
1506	E	695089	0				
1506	A	696595	1				
1508	C	698101	0				
1508	A	699609	1				
1508	C	701117	0				
1510	B	702625	0				
1513	E	704135	0				
1513	E	705648	0				
1516	B	707161	0				
1516	E	708677	0				
1517	C	710193	0				
1518	E	711710	0				
1518	C	713228	0				
1519	D	714746	0				
1520	B	716265	0				
1521	C	717785	0				
1521	B	719306	0				
1522	C	720827	0				
1525	B	722349	0				
1526	E	723874	0				
1527	C	725400	0				
1528	C	726927	0				
1528	B	728455	0				
1530	E	729983	0				
1531	B	731513	0				
1532	B	733044	0				
1533	A	734576	1				
1534	D	736109	0				
1534	D	737643	0				
1535	D	739177	0				
1536	A	740712	1				
1536	B	742248	0				
1542	E	743784	0				
1543	E	745326	0				
1543	D	746869	0				
1543	C	748412	0				
1543	C	749955	0				
1544	E	751498	0				
1545	E	753042	0				
1545	B	754587	0				
1547	E	756132	0				
1548	D	757679	0				
1549	C	759227	0				
1549	A	760776	1				
1550	E	762325	0				
1551	C	763875	0				
1554	A	765426	1				
1557	B	766980	0				
1558	C	768537	0				
1559	E	770095	0				
1560	E	771654	0				
1562	A	773214	1				
1563	A	774776	1				
1564	B	776339	0				
1564	A	777903	1				
1564	C	779467	0				
1564	D	781031	0				
1565	B	782595	0				
1566	E	784160	0				
1568	D	785726	0				
1568	A	787294	1				
1568	D	788862	0				
1570	A	790430	1				
1571	D	792000	0				
1571	C	793571	0				
1571	C	795142	0				
1572	E	796713	0				
1573	B	798285	0				
1576	D	799858	0				
1576	E	801434	0				
1577	D	803010	0				
1578	D	804587	0				
1578	E	806165	0				
1578	D	807743	0				
1579	C	809321	0				
1582	D	810900	0				
1583	D	812482	0				
1585	A	814065	1				
1587	B	815650	0				
1590	A	817237	1				
1591	E	818827	0				
1591	D	820418	0				
1594	D	822009	0				
1595	A	823603	1				
1595	C	825198	0				
1598	A	826793	1				
1600	D	828391	0				
1600	B	829991	0				
1600	D	831591	0				
1600	B	833191	0				
1600	D	834791	0				
1600	C	836391	0				
1601	D	837991	0				
1602	D	839592	0				
1602	E	841194	0				
1602	A	842796	1				
1603	C	844398	0				
1603	C	846001	0				
1604	D	847604	0				
1604	C	849208	0				
1605	B	850812	0				
1606	D	852417	0				
1607	A	854023	1				
1607	E	855630	0				
1609	E	857237	0				
1609	E	858846	0				
1609	B	860455	0				
1609	C	862064	0				
1610	B	863673	0				
1612	C	865283	0				
1613	D	866895	0				
1613	D	868508	0				
1614	D	870121	0				
1614	D	871735	0				
1614	D	873349	0				
1615	D	874963	0				
1616	E	876578	0				
1616	B	878194	0				
1617	B	879810	0				
1619	B	881427	0				
1619	B	883046	0				
1620	D	884665	0				
1620	D	886285	0				
1620	B	887905	0				
1620	E	889525	0				
1621	A	891145	1				
1621	A	892766	1				
1625	D	894387	0				
1627	A	896012	1				
1627	B	897639	0				
1629	D	899266	0				
1629	E	900895	0				
1630	C	902524	0				
1633	E	904154	0				
1634	A	905787	1				
1634	A	907421	1				
1635	E	909055	0				
1636	A	910690	1				
1636	D	912326	0				
1637	B	913962	0				
1638	C	915599	0				
1638	E	917237	0				
1638	E	918875	0				
1641	E	920513	0				
1641	E	922154	0				
1641	D	923795	0				
1642	A	925436	1				
1642	D	927078	0				
1642	E	928720	0				
1642	A	930362	1				
1645	E	932004	0				
1645	C	933649	0				
1646	A	935294	1				
1647	E	936940	0				
1647	A	938587	1				
1648	C	940234	0				
1648	B	941882	0				
1651	B	943530	0				
1651	A	945181	1				
1652	D	946832	0				
1653	D	948484	0				
1659	D	950137	0				
1661	A	951796	1				
1661	D	953457	0				
1661	B	955118	0				
1663	B	956779	0				
1664	E	958442	0				
1664	B	960106	0				
1665	A	961770	1				
1667	A	963435	1				
1668	A	965102	1				
1668	A	966770	1				
1668	C	968438	0				
1668	D	970106	0				
1669	A	971774	1				
1669	C	973443	0				
1670	D	975112	0				
1671	A	976782	1				
1672	E	978453	0				
1673	A	980125	1				
1675	D	981798	0				
1676	D	983473	0				
1676	B	985149	0				
1677	B	986825	0				
1677	B	988502	0				
1678	E	990179	0				
1678	A	991857	1				
1679	E	993535	0				
1680	A	995214	1				
1680	C	996894	0				
1681	A	998574	1				
1682	D	1000255	0				
1683	D	1001937	0				
1683	A	1003620	1				
1686	D	1005303	0				
1686	C	1006989	0				
1686	D	1008675	0				
1686	D	1010361	0				
1687	B	1012047	0				
1691	C	1013734	0				
1691	B	1015425	0				
1694	D	1017116	0				
1694	A	1018810	1				
1696	B	1020504	0				
1696	D	1022200	0				
1697	C	1023896	0				
1699	E	1025593	0				
1700	A	1027292	1				
1700	E	1028992	0				
1701	E	1030692	0				
1704	B	1032393	0				
1704	B	1034097	0				
1705	B	1035801	0				
1705	C	1037506	0				
1706	B	1039211	0				
1709	B	1040917	0				
1710	C	1042626	0				
1712	A	1044336	1				
1712	E	1046048	0				
1712	A	1047760	1				
1716	E	1049472	0				
1717	C	1051188	0				
1717	E	1052905	0				
1725	E	1054622	0				
1725	C	1056347	0				
1727	D	1058072	0				
1727	D	1059799	0				
1727	C	1061526	0				
1727	B	1063253	0				
1728	B	1064980	0				
1729	D	1066708	0				
1729	A	1068437	1				
1729	A	1070166	1				
1729	E	1071895	0				
1730	B	1073624	0				
1730	C	1075354	0				
1732	A	1077084	1				
1732	E	1078816	0				
1733	C	1080548	0				
1733	A	1082281	1				
1734	E	1084014	0				
1734	B	1085748	0				
1735	C	1087482	0				
1735	A	1089217	1				
1735	E	1090952	0				
1735	B	1092687	0				
1736	E	1094422	0				
1737	E	1096158	0				
1741	D	1097895	0				
1745	B	1099636	0				
1746	B	1101381	0				
1748	C	1103127	0				
1750	C	1104875	0				
1752	C	1106625	0				
1752	D	1108377	0				
1754	D	1110129	0				
1755	B	1111883	0				
1756	A	1113638	1				
1756	D	1115394	0				
1757	E	1117150	0				
1757	E	1118907	0				
1758	C	1120664	0				
1759	D	1122422	0				
1760	D	1124181	0				
1760	D	1125941	0				
1760	A	1127701	1				
1762	A	1129461	1				
1763	D	1131223	0				
1763	E	1132986	0				
1764	A	1134749	1				
1765	D	1136513	0				
1765	B	1138278	0				
1767	C	1140043	0				
1767	C	1141810	0				
1769	E	1143577	0				
1769	D	1145346	0				
1771	B	1147115	0				
1773	E	1148886	0				
1773	E	1150659	0				
1774	A	1152432	1				
1775	A	1154206	1				
1776	E	1155981	0				
1777	E	1157757	0				
1777	E	1159534	0				
1778	C	1161311	0				
1779	D	1163089	0				
1779	B	1164868	0				
1780	C	1166647	0				
1780	D	1168427	0				
1780	C	1170207	0				
1782	B	1171987	0				
1782	B	1173769	0				
1783	C	1175551	0				
1784	C	1177334	0				
1784	D	1179118	0				
1785	A	1180902	1				
1785	E	1182687	0				
1786	B	1184472	0				
1788	E	1186258	0				
1790	E	1188046	0				
1790	B	1189836	0				
1791	E	1191626	0				
1794	A	1193417	1				
1795	B	1195211	0				
1798	D	1197006	0				
1800	B	1198804	0				
1801	B	1200604	0				
1802	C	1202405	0				
1803	E	1204207	0				
1803	B	1206010	0				
1805	D	1207813	0				
1807	B	1209618	0				
1808	D	1211425	0				
1808	D	1213233	0				
1809	D	1215041	0				
1810	B	1216850	0				
1811	A	1218660	1				
1811	C	1220471	0				
1813	D	1222282	0				
1814	A	1224095	1				
1816	D	1225909	0				
1818	A	1227725	1				
1819	D	1229543	0				
1819	C	1231362	0				
1819	E	1233181	0				
1820	C	1235000	0				
1820	B	1236820	0				
1821	D	1238640	0				
1821	A	1240461	1				
1821	C	1242282	0				
1821	E	1244103	0				
1821	A	1245924	1				
1822	B	1247745	0				
1822	A	1249567	1				
1822	B	1251389	0				
1823	D	1253211	0				
1823	E	1255034	0				
1826	E	1256857	0				
1828	C	1258683	0				
1832	B	1260511	0				
1834	E	1262343	0				
1835	C	1264177	0				
1836	B	1266012	0				
1836	B	1267848	0				
1837	E	1269684	0				
1837	C	1271521	0				
1838	B	1273358	0				
1838	A	1275196	1				
1838	C	1277034	0				
1839	E	1278872	0				
1839	A	1280711	1				
1841	B	1282550	0				
1841	B	1284391	0				
1841	D	1286232	0				
1843	C	1288073	0				
1843	E	1289916	0				
1846	D	1291759	0				
1846	D	1293605	0				
1847	C	1295451	0				
1847	B	1297298	0				
1847	B	1299145	0				
1848	C	1300992	0				
1850	B	1302840	0				
1851	B	1304690	0				
1852	A	1306541	1				
1852	E	1308393	0				
1852	E	1310245	0				
1853	A	1312097	1				
1854	C	1313950	0				
1856	E	1315804	0				
1858	C	1317660	0				
1858	E	1319518	0				
1860	C	1321376	0				
1863	E	1323236	0				
1864	A	1325099	1				
1865	D	1326963	0				
1866	E	1328828	0				
1866	C	1330694	0				
1867	B	1332560	0				
1867	E	1334427	0				
1868	A	1336294	1				
1868	E	1338162	0				
1869	E	1340030	0				
1870	D	1341899	0				
1871	C	1343769	0				
1871	B	1345640	0				
1872	A	1347511	1				
1873	B	1349383	0				
1873	C	1351256	0				
1873	D	1353129	0				
1874	A	1355002	1				
1874	B	1356876	0				
1877	B	1358750	0				
1879	B	1360627	0				
1880	D	1362506	0				
1880	D	1364386	0				
1881	E	1366266	0				
1881	E	1368147	0				
1881	C	1370028	0				
1882	D	1371909	0				
1882	B	1373791	0				
1885	B	1375673	0				
1887	C	1377558	0				
1887	B	1379445	0				
1888	D	1381332	0				
1889	A	1383220	1				
1890	A	1385109	1				
1891	E	1386999	0				
1891	C	1388890	0				
1892	D	1390781	0				
1893	D	1392673	0				
1894	E	1394566	0				
1897	A	1396460	1				
1901	C	1398357	0				
1902	E	1400258	0				
1903	B	1402160	0				
1903	B	1404063	0				
1905	B	1405966	0				
1907	D	1407871	0				
1908	C	1409778	0				
1908	C	1411686	0				
1909	B	1413594	0				
1910	D	1415503	0				
1911	D	1417413	0				
1912	B	1419324	0				
1912	C	1421236	0				
1913	C	1423148	0				
1913	B	1425061	0				
1913	B	1426974	0				
1914	C	1428887	0				
1915	A	1430801	1				
1915	E	1432716	0				
1915	B	1434631	0				
1915	C	1436546	0				
1919	E	1438461	0				
1919	A	1440380	1				
1920	E	1442299	0				
1921	C	1444219	0				
1921	C	1446140	0				
1922	D	1448061	0				
1923	B	1449983	0				
1926	A	1451906	1				
1926	C	1453832	0				
1927	E	1455758	0				
1927	C	1457685	0				
1927	E	1459612	0				
1927	E	1461539	0				
1928	E	1463466	0				
1928	E	1465394	0				
1929	C	1467322	0				
1930	A	1469251	1				
1933	E	1471181	0				
1933	B	1473114	0				
1934	D	1475047	0				
1935	D	1476981	0				
1935	E	1478916	0				
1935	D	1480851	0				
1936	E	1482786	0				
1936	C	1484722	0				
1939	E	1486658	0				
1940	C	1488597	0				
1941	C	1490537	0				
1943	B	1492478	0				
1946	C	1494421	0				
1946	D	1496367	0				
1947	B	1498313	0				
1947	C	1500260	0				
1948	E	1502207	0				
1949	D	1504155	0				
1949	E	1506104	0				
1951	A	1508053	1				
1951	A	1510004	1				
1951	A	1511955	1				
1953	B	1513906	0				
1953	B	1515859	0				
1954	D	1517812	0				
1955	B	1519766	0				
1956	C	1521721	0				
1956	D	1523677	0				
1956	E	1525633	0				
1956	A	1527589	1				
1957	C	1529545	0				
1958	E	1531502	0				
1960	A	1533460	1				
1960	A	1535420	1				
1961	D	1537380	0				
1961	C	1539341	0				
1962	B	1541302	0				
1963	A	1543264	1				
1965	B	1545227	0				
1965	C	1547192	0				
1969	A	1549157	1				
1969	C	1551126	0				
1972	B	1553095	0				
1973	C	1555067	0				
1974	B	1557040	0				
1975	A	1559014	1				
1976	A	1560989	1				
1977	D	1562965	0				
1977	D	1564942	0				
1977	E	1566919	0				
1977	B	1568896	0				
1979	A	1570873	1				
1979	A	1572852	1				
1981	C	1574831	0				
1981	E	1576812	0				
1982	D	1578793	0				
1982	E	1580775	0				
1985	D	1582757	0				
1985	E	1584742	0				
1986	E	1586727	0				
1986	C	1588713	0				
1987	C	1590699	0				
1989	C	1592686	0				
1990	B	1594675	0				
1993	E	1596665	0				
1993	C	1598658	0				
1993	D	1600651	0				
1995	E	1602644	0				
1996	B	1604639	0				
1996	E	1606635	0				
1997	C	1608631	0				
1997	A	1610628	1				
1998	A	1612625	1				
1998	C	1614623	0				
1999	C	1616621	0				
1999	E	1618620	0				
1999	D	1620619	0				
2001	B	1622618	0				
2001	B	1624619	0				
2002	B	1626620	0				
2003	C	1628622	0				
2004	E	1630625	0				
2005	B	1632629	0				
2006	E	1634634	0				
2007	D	1636640	0				
2007	D	1638647	0				
2007	E	1640654	0				
2008	B	1642661	0				
2008	E	1644669	0				
2008	B	1646677	0				
2009	D	1648685	0				
2009	D	1650694	0				
2011	C	1652703	0				
2012	D	1654714	0				
2012	D	1656726	0				
2012	B	1658738	0				
2013	A	1660750	1				
2014	B	1662763	0				
2015	E	1664777	0				
2019	B	1666792	0				
2019	D	1668811	0				
2020	C	1670830	0				
2021	B	1672850	0				
2022	A	1674871	1				
2024	D	1676893	0				
2024	A	1678917	1				
2025	C	1680941	0				
2025	B	1682966	0				
2025	D	1684991	0				
2026	E	1687016	0				
2026	D	1689042	0				
2027	A	1691068	1				
2028	C	1693095	0				
2028	B	1695123	0				
2028	A	1697151	1				
2030	E	1699179	0				
2032	C	1701209	0				
2032	E	1703241	0				
2034	B	1705273	0				
2034	C	1707307	0				
2034	B	1709341	0				
2034	E	1711375	0				
2035	A	1713409	1				
2035	C	1715444	0				
2035	B	1717479	0				
2036	A	1719514	1				
2036	E	1721550	0				
2041	D	1723586	0				
2042	D	1725627	0				
2043	E	1727669	0				
2043	A	1729712	1				
2044	C	1731755	0				
2044	A	1733799	1				
2045	A	1735843	1				
2046	A	1737888	1				
2047	A	1739934	1				
2048	C	1741981	0				
2048	B	1744029	0				
2048	E	1746077	0				
2049	A	1748125	1				
2049	E	1750174	0				
2049	D	1752223	0				
2051	B	1754272	0				
2052	B	1756323	0				
2052	D	1758375	0				
2052	C	1760427	0				
2053	E	1762479	0				
2053	D	1764532	0				
2053	E	1766585	0				
2054	D	1768638	0				
2055	A	1770692	1				
2056	A	1772747	1				
2056	C	1774803	0				
2060	E	1776859	0				
2062	A	1778919	1				
2062	E	1780981	0				
2065	D	1783043	0				
2066	E	1785108	0				
2067	D	1787174	0				
2067	C	1789241	0				
2070	C	1791308	0				
2071	A	1793378	1				
2071	A	1795449	1				
2071	E	1797520	0				
2071	B	1799591	0				
2071	E	1801662	0				
2072	B	1803733	0				
2073	D	1805805	0				
2073	B	1807878	0				
2073	E	1809951	0				
2074	A	1812024	1				
2074	D	1814098	0				
2075	D	1816172	0				
2076	E	1818247	0				
2076	E	1820323	0				
2080	D	1822399	0				
2082	B	1824479	0				
2082	A	1826561	1				
2085	A	1828643	1				
2087	D	1830728	0				
2087	B	1832815	0				
2088	E	1834902	0				
2089	A	1836990	1				
2089	C	1839079	0				
2091	E	1841168	0				
2091	B	1843259	0				
2092	C	1845350	0				
2092	E	1847442	0				
2094	E	1849534	0				
2095	E	1851628	0				
2095	B	1853723	0				
2095	D	1855818	0				
2095	C	1857913	0				
2096	A	1860008	1				
2096	D	1862104	0				
2097	E	1864200	0				
2098	C	1866297	0				
2100	E	1868395	0				
2100	A	1870495	1				
2100	E	1872595	0				
2102	C	1874695	0				
2103	A	1876797	1				
2104	D	1878900	0				
2104	A	1881004	1				
2106	A	1883108	1				
2107	D	1885214	0				
2108	E	1887321	0				
2108	B	1889429	0				
2108	D	1891537	0				
2109	E	1893645	0				
2109	A	1895754	1				
2111	C	1897863	0				
2112	C	1899974	0				
2113	D	1902086	0				
2114	D	1904199	0				
2116	B	1906313	0				
2116	D	1908429	0				
2117	C	1910545	0				
2119	D	1912662	0				
2121	B	1914781	0				
2121	A	1916902	1				
2121	D	1919023	0				
2121	B	1921144	0				
2122	E	1923265	0				
2124	A	1925387	1				
