ô	è									500
31961290	109	1000109	1							
31961290	113	1000113	1							
31961290	113	1000113	1							
33580032	27	27	0							
33580032	35	62	0							
33580032	41	103	0							
33580032	43	146	0							
33580032	48	194	0							
33648067	37	37	0							
33648067	43	80	0							
33648067	48	128	0							
33648067	58	186	0							
33648067	58	244	0							
33648067	67	311	0							
33648067	77	388	0							
33648067	86	474	0							
33648067	95	1000095	1							
33648067	106	1000106	1							
37269531	33	33	0							
37269531	34	67	0							
37269531	36	103	0							
37269531	42	145	0							
37269531	49	194	0							
37947044	31	31	0							
37947044	34	65	0							
37947044	42	107	0							
37947044	53	160	0							
37947044	56	216	0							
37947044	68	284	0							
37947044	68	352	0							
37947044	76	428	0							
37947044	88	1000088	1							
37947044	94	1000094	1							
37947044	106	1000106	1							
37947044	116	1000116	1							
37947044	127	1000127	1							
37947044	138	1000138	1							
37947044	143	1000143	1							
37947044	147	1000147	1							
37947044	150	1000150	1							
37947044	151	1000151	1							
38788494	35	35	0							
38788494	46	81	0							
38788494	53	134	0							
38788494	53	187	0							
38788494	58	245	0							
40334689	37	37	0							
40334689	47	84	0							
40334689	52	136	0							
40334689	59	195	0							
40334689	63	258	0							
40334689	65	323	0							
40334689	70	393	0							
40334689	79	472	0							
40334689	87	1000087	1							
40334689	99	1000099	1							
40334689	103	1000103	1							
40334689	110	1000110	1							
41643757	28	28	0							
41643757	28	56	0							
41643757	30	86	0							
41643757	37	123	0							
41643757	40	163	0							
41643757	47	210	0							
41643757	57	267	0							
41643757	60	327	0							
43068317	30	30	0							
43068317	35	65	0							
43068317	44	109	0							
43068317	51	160	0							
43068317	58	218	0							
43068317	64	282	0							
43068317	76	358	0							
43068317	88	446	0							
43068317	95	1000095	1							
43068317	97	1000097	1							
43068317	102	1000102	1							
43068317	103	1000103	1							
44617376	25	25	0							
44617376	37	62	0							
44617376	49	111	0							
44617376	59	170	0							
44617376	60	230	0							
44617376	63	293	0							
44617376	73	366	0							
44617376	80	446	0							
44617376	84	1000084	1							
44617376	84	1000084	1							
44617376	95	1000095	1							
44617376	106	1000106	1							
44617376	117	1000117	1							
44617376	122	1000122	1							
44617376	124	1000124	1							
44617376	136	1000136	1							
45079278	34	34	0							
45079278	36	70	0							
45079278	44	114	0							
45079278	44	158	0							
45079278	47	205	0							
45079278	47	252	0							
45079278	58	310	0							
45079278	61	371	0							
45079278	62	433	0							
45079278	64	497	0							
45079278	66	1000066	1							
45079278	69	1000069	1							
45079278	76	1000076	1							
45079278	77	1000077	1							
45079278	87	1000087	1							
45079278	93	1000093	1							
45079278	97	1000097	1							
46160172	31	31	0							
46160172	42	73	0							
46160172	52	125	0							
46160172	63	188	0							
46160172	72	260	0							
47776768	35	35	0							
47776768	38	73	0							
47776768	46	119	0							
47776768	58	177	0							
47776768	64	241	0							
47776768	64	305	0							
47776768	66	371	0							
47776768	78	449	0							
47776768	84	1000084	1							
47776768	84	1000084	1							
47776768	87	1000087	1							
47776768	94	1000094	1							
47776768	106	1000106	1							
47776768	107	1000107	1							
47776768	115	1000115	1							
47776768	118	1000118	1							
47776768	119	1000119	1							
47776768	125	1000125	1							
47776768	129	1000129	1							
47776768	139	1000139	1							
47776768	150	1000150	1							
47776768	162	1000162	1							
49098703	25	25	0							
49098703	33	58	0							
49098703	37	95	0							
49098703	43	138	0							
49098703	52	190	0							
49098703	58	248	0							
49098703	58	306	0							
49098703	63	369	0							
49098703	65	434	0							
49098703	72	1000072	1							
49098703	72	1000072	1							
49098703	80	1000080	1							
50360298	35	35	0							
50360298	44	79	0							
50360298	48	127	0							
50360298	59	186	0							
50360298	63	249	0							
50360298	66	315	0							
50360298	72	387	0							
50371337	34	34	0							
50371337	43	77	0							
50371337	44	121	0							
50371337	51	172	0							
50371337	57	229	0							
50371337	57	286	0							
50371337	67	353	0							
50371337	69	422	0							
50371337	78	1000078	1							
50371337	81	1000081	1							
50371337	93	1000093	1							
50371337	100	1000100	1							
50371337	112	1000112	1							
50371337	119	1000119	1							
52235281	25	25	0							
52235281	29	54	0							
52235281	32	86	0							
52235281	35	121	0							
52235281	36	157	0							
52235281	37	194	0							
52235281	38	232	0							
52616440	32	32	0							
52616440	44	76	0							
52616440	55	131	0							
52616440	66	197	0							
52616440	78	275	0							
52616440	85	360	0							
52616440	87	447	0							
52616440	94	1000094	1							
52616440	106	1000106	1							
52616440	116	1000116	1							
55093056	26	26	0							
55093056	32	58	0							
55093056	37	95	0							
55093056	37	132	0							
55093056	44	176	0							
55093056	46	222	0							
55093056	52	274	0							
55093056	63	337	0							
56440505	30	30	0							
56440505	41	71	0							
56440505	53	124	0							
56440505	61	185	0							
56440505	69	254	0							
56440505	78	332	0							
56440505	85	417	0							
56440505	86	1000086	1							
56440505	98	1000098	1							
56440505	106	1000106	1							
56440505	116	1000116	1							
56440505	118	1000118	1							
56440505	118	1000118	1							
56440505	127	1000127	1							
56440505	130	1000130	1							
56440505	141	1000141	1							
56440505	144	1000144	1							
56440505	149	1000149	1							
56440505	157	1000157	1							
56440505	159	1000159	1							
56440505	168	1000168	1							
58859540	25	25	0							
58859540	30	55	0							
58859540	36	91	0							
58859540	47	138	0							
58859540	58	196	0							
58859540	68	264	0							
61763445	31	31	0							
61763445	36	67	0							
61763445	37	104	0							
61763445	48	152	0							
61763445	60	212	0							
62198197	35	35	0							
62198197	44	79	0							
62198197	48	127	0							
62198197	51	178	0							
62198197	63	241	0							
62198197	75	316	0							
62601368	26	26	0							
62601368	28	54	0							
62601368	38	92	0							
62601368	49	141	0							
62601368	59	200	0							
62601368	66	266	0							
62601368	68	334	0							
62601368	71	405	0							
62601368	79	484	0							
62601368	81	1000081	1							
62601368	87	1000087	1							
62601368	91	1000091	1							
62601368	95	1000095	1							
62601368	105	1000105	1							
63308921	25	25	0							
63308921	37	62	0							
63308921	47	109	0							
63308921	48	157	0							
63308921	53	210	0							
63308921	63	273	0							
63308921	70	343	0							
63308921	79	422	0							
63308921	90	1000090	1							
63308921	91	1000091	1							
63308921	93	1000093	1							
63308921	103	1000103	1							
63308921	113	1000113	1							
63308921	124	1000124	1							
63597377	30	30	0							
63597377	35	65	0							
63597377	44	109	0							
63597377	48	157	0							
63597377	59	216	0							
63597377	69	285	0							
64727783	35	35	0							
64727783	40	75	0							
64727783	42	117	0							
64727783	46	163	0							
66965970	27	27	0							
66965970	38	65	0							
66965970	42	107	0							
66965970	44	151	0							
66965970	46	197	0							
66965970	52	249	0							
66965970	54	303	0							
67441391	31	31	0							
67441391	31	62	0							
67441391	43	105	0							
67441391	48	153	0							
67441391	60	213	0							
67441391	72	285	0							
67441391	84	369	0							
67441391	87	456	0							
67441391	90	1000090	1							
67441391	93	1000093	1							
67441391	102	1000102	1							
67441391	114	1000114	1							
67441391	116	1000116	1							
67441391	126	1000126	1							
67441391	132	1000132	1							
67441391	144	1000144	1							
67441391	150	1000150	1							
67441391	155	1000155	1							
67441391	164	1000164	1							
67536438	26	26	0							
67536438	34	60	0							
67536438	43	103	0							
67536438	43	146	0							
67536438	44	190	0							
67536438	46	236	0							
67536438	50	286	0							
67536438	55	341	0							
68517181	34	34	0							
68517181	34	68	0							
68517181	35	103	0							
68517181	43	146	0							
68517181	49	195	0							
68517181	55	250	0							
68517181	57	307	0							
68517181	59	366	0							
68517181	70	436	0							
68517181	70	1000070	1							
68517181	70	1000070	1							
68517181	72	1000072	1							
68517181	74	1000074	1							
68517181	75	1000075	1							
68517181	81	1000081	1							
68517181	81	1000081	1							
68517181	83	1000083	1							
68517181	87	1000087	1							
68517181	98	1000098	1							
68517181	108	1000108	1							
68785439	30	30	0							
68785439	30	60	0							
68785439	34	94	0							
68785439	43	137	0							
68785439	52	189	0							
68785439	63	252	0							
68785439	66	318	0							
68785439	68	386	0							
68785439	73	459	0							
71792152	33	33	0							
71792152	37	70	0							
71792152	44	114	0							
71792152	54	168	0							
71792152	63	231	0							
71792152	73	304	0							
71792152	79	383	0							
71792152	86	469	0							
71792152	98	1000098	1							
71792152	103	1000103	1							
71792152	104	1000104	1							
71814353	37	37	0							
71814353	41	78	0							
71814353	41	119	0							
71814353	41	160	0							
71814353	49	209	0							
71814353	50	259	0							
71814353	56	315	0							
71814353	61	376	0							
71814353	70	446	0							
71814353	80	1000080	1							
71814353	81	1000081	1							
71814353	89	1000089	1							
71814353	101	1000101	1							
71814353	106	1000106	1							
71814353	112	1000112	1							
71814353	117	1000117	1							
71814353	124	1000124	1							
71814353	131	1000131	1							
73342411	31	31	0							
73342411	43	74	0							
73342411	51	125	0							
73342411	61	186	0							
73342411	62	248	0							
73342411	66	314	0							
73342411	67	381	0							
73342411	70	451	0							
74381109	27	27	0							
74381109	29	56	0							
74381109	31	87	0							
74381109	34	121	0							
74381109	37	158	0							
74381109	40	198	0							
74381109	40	238	0							
76042245	32	32	0							
76042245	38	70	0							
76042245	50	120	0							
76042245	55	175	0							
76042245	60	235	0							
76042245	68	303	0							
76042245	69	372	0							
76042245	78	450	0							
76042245	86	1000086	1							
76042245	89	1000089	1							
76042245	93	1000093	1							
76042245	95	1000095	1							
76042245	98	1000098	1							
76042245	107	1000107	1							
76042245	111	1000111	1							
77240996	34	34	0							
77240996	35	69	0							
77240996	43	112	0							
77240996	51	163	0							
77240996	58	221	0							
77240996	60	281	0							
77240996	67	348	0							
77240996	74	422	0							
77240996	82	1000082	1							
77240996	91	1000091	1							
77240996	100	1000100	1							
77240996	109	1000109	1							
77240996	118	1000118	1							
77240996	126	1000126	1							
77240996	136	1000136	1							
77240996	145	1000145	1							
77240996	152	1000152	1							
77240996	152	1000152	1							
77240996	156	1000156	1							
78520803	30	30	0							
78520803	33	63	0							
78520803	42	105	0							
78520803	46	151	0							
78520803	52	203	0							
78520803	61	264	0							
78520803	67	331	0							
78782759	30	30	0							
78782759	37	67	0							
78782759	43	110	0							
78782759	54	164	0							
78782759	63	227	0							
78782759	73	300	0							
78782759	75	375	0							
78782759	79	454	0							
78782759	80	1000080	1							
78782759	83	1000083	1							
78782759	87	1000087	1							
78782759	99	1000099	1							
78782759	100	1000100	1							
78782759	104	1000104	1							
78782759	112	1000112	1							
78782759	123	1000123	1							
78782759	134	1000134	1							
78782759	140	1000140	1							
78782759	145	1000145	1							
79887965	29	29	0							
79887965	33	62	0							
79887965	33	95	0							
79887965	36	131	0							
79887965	37	168	0							
79887965	43	211	0							
79887965	45	256	0							
79887965	51	307	0							
79887965	57	364	0							
79887965	63	427	0							
79887965	64	491	0							
79887965	73	1000073	1							
79887965	81	1000081	1							
79887965	92	1000092	1							
79887965	103	1000103	1							
79887965	105	1000105	1							
79887965	105	1000105	1							
79887965	112	1000112	1							
79887965	112	1000112	1							
79887965	112	1000112	1							
79887965	120	1000120	1							
79887965	131	1000131	1							
79887965	139	1000139	1							
79887965	150	1000150	1							
79887965	159	1000159	1							
79887965	165	1000165	1							
79887965	177	1000177	1							
79887965	184	1000184	1							
79887965	185	1000185	1							
79887965	189	1000189	1							
79887965	200	1000200	1							
79887965	200	1000200	1							
80470828	28	28	0							
80470828	32	60	0							
80470828	35	95	0							
80470828	42	137	0							
80470828	46	183	0							
80470828	46	229	0							
80470828	51	280	0							
80470828	60	340	0							
80470828	66	406	0							
80470828	71	477	0							
80470828	74	1000074	1							
80470828	77	1000077	1							
80470828	88	1000088	1							
80470828	94	1000094	1							
80470828	97	1000097	1							
80470828	107	1000107	1							
80470828	116	1000116	1							
80470828	121	1000121	1							
80470828	130	1000130	1							
80470828	141	1000141	1							
82396295	34	34	0							
82396295	45	79	0							
82396295	53	132	0							
82396295	65	197	0							
82396295	75	272	0							
82396295	84	356	0							
82396295	88	444	0							
82396295	94	1000094	1							
82396295	102	1000102	1							
82396295	109	1000109	1							
82396295	115	1000115	1							
82396295	124	1000124	1							
82396295	133	1000133	1							
83740252	34	34	0							
83740252	41	75	0							
83740252	46	121	0							
83740252	47	168	0							
83740252	57	225	0							
83740252	58	283	0							
83740252	58	341	0							
83740252	69	410	0							
83740252	70	480	0							
83740252	82	1000082	1							
83740252	90	1000090	1							
83740252	101	1000101	1							
83740252	103	1000103	1							
83740252	106	1000106	1							
83740252	116	1000116	1							
83740252	122	1000122	1							
83740252	122	1000122	1							
83740252	130	1000130	1							
83740252	131	1000131	1							
83740252	139	1000139	1							
83740252	148	1000148	1							
83740252	149	1000149	1							
83740252	153	1000153	1							
83740252	161	1000161	1							
83740252	167	1000167	1							
83740252	177	1000177	1							
83740252	187	1000187	1							
83740252	198	1000198	1							
83740252	202	1000202	1							
83942152	25	25	0							
83942152	37	62	0							
83942152	44	106	0							
83942152	56	162	0							
83942152	59	221	0							
83942152	70	291	0							
83942152	80	371	0							
83942152	91	462	0							
83942152	93	1000093	1							
83942152	98	1000098	1							
84337138	25	25	0							
84337138	25	50	0							
84337138	27	77	0							
84337138	30	107	0							
84337138	33	140	0							
84337138	45	185	0							
84337138	48	233	0							
84337138	48	281	0							
84337138	51	332	0							
85318663	33	33	0							
85318663	39	72	0							
85318663	43	115	0							
85318663	49	164	0							
85318663	51	215	0							
85318663	54	269	0							
85318663	55	324	0							
85318663	58	382	0							
85318663	60	442	0							
85318663	64	1000064	1							
85318663	74	1000074	1							
85318663	80	1000080	1							
86285904	34	34	0							
86285904	45	79	0							
86285904	46	125	0							
86285904	53	178	0							
86285904	63	241	0							
86285904	72	313	0							
86285904	81	394	0							
86285904	93	487	0							
86285904	99	1000099	1							
86285904	104	1000104	1							
86285904	113	1000113	1							
86285904	117	1000117	1							
87209098	33	33	0							
87209098	40	73	0							
87209098	46	119	0							
87209098	53	172	0							
87209098	65	237	0							
87209098	68	305	0							
87209098	74	379	0							
87209098	79	458	0							
87209098	80	1000080	1							
87209098	81	1000081	1							
87596820	35	35	0							
87596820	37	72	0							
87596820	44	116	0							
87596820	55	171	0							
87596820	58	229	0							
87596820	59	288	0							
87596820	71	359	0							
87596820	73	432	0							
87596820	85	1000085	1							
87596820	96	1000096	1							
87596820	101	1000101	1							
87596820	113	1000113	1							
87596820	117	1000117	1							
87596820	125	1000125	1							
87596820	126	1000126	1							
87596820	133	1000133	1							
87596820	140	1000140	1							
87596820	147	1000147	1							
87596820	158	1000158	1							
87596820	166	1000166	1							
87596820	174	1000174	1							
87596820	175	1000175	1							
87596820	183	1000183	1							
87596820	188	1000188	1							
87723802	31	31	0							
87723802	32	63	0							
87723802	44	107	0							
87723802	54	161	0							
87723802	59	220	0							
87723802	67	287	0							
87723802	75	362	0							
87723802	84	446	0							
87723802	87	1000087	1							
87723802	91	1000091	1							
87723802	96	1000096	1							
89158630	35	35	0							
89158630	42	77	0							
89158630	51	128	0							
89158630	60	188	0							
89158630	70	258	0							
89158630	75	333	0							
89158630	77	410	0							
89158630	82	492	0							
89158630	92	1000092	1							
89158630	100	1000100	1							
89158630	107	1000107	1							
89158630	119	1000119	1							
89158630	127	1000127	1							
89158630	139	1000139	1							
89158630	145	1000145	1							
89158630	149	1000149	1							
89158630	159	1000159	1							
89158630	162	1000162	1							
89158630	173	1000173	1							
90138353	33	33	0							
90138353	41	74	0							
90138353	53	127	0							
90138353	60	187	0							
90255426	27	27	0							
90255426	33	60	0							
90255426	38	98	0							
90255426	40	138	0							
90255426	48	186	0							
90255426	49	235	0							
90255426	57	292	0							
90255426	69	361	0							
90255426	79	440	0							
90255426	86	1000086	1							
90255426	97	1000097	1							
90255426	100	1000100	1							
90255426	112	1000112	1							
92397977	29	29	0							
92397977	31	60	0							
92397977	34	94	0							
92397977	36	130	0							
92397977	48	178	0							
92397977	58	236	0							
92397977	63	299	0							
92397977	71	370	0							
92397977	79	449	0							
92397977	89	1000089	1							
92397977	100	1000100	1							
92397977	107	1000107	1							
92397977	107	1000107	1							
92397977	118	1000118	1							
92397977	125	1000125	1							
92397977	132	1000132	1							
92397977	141	1000141	1							
92397977	147	1000147	1							
92397977	151	1000151	1							
92397977	158	1000158	1							
92397977	159	1000159	1							
92397977	171	1000171	1							
92397977	182	1000182	1							
92397977	193	1000193	1							
92397977	195	1000195	1							
93421613	29	29	0							
93421613	34	63	0							
93421613	41	104	0							
93421613	42	146	0							
93421613	45	191	0							
93421613	56	247	0							
93421613	61	308	0							
93421613	70	378	0							
93421613	71	449	0							
93421613	71	1000071	1							
93421613	71	1000071	1							
93421613	74	1000074	1							
93421613	85	1000085	1							
94675477	27	27	0							
94675477	32	59	0							
94675477	42	101	0							
94675477	42	143	0							
94675477	43	186	0							
94675477	51	237	0							
94675477	52	289	0							
94675477	64	353	0							
94675477	68	421	0							
94675477	72	493	0							
94966933	29	29	0							
94966933	30	59	0							
94966933	36	95	0							
94966933	36	131	0							
94966933	41	172	0							
94966933	43	215	0							
94966933	53	268	0							
94966933	60	328	0							
94966933	60	388	0							
95251989	28	28	0							
95251989	29	57	0							
95251989	38	95	0							
95251989	38	133	0							
95251989	50	183	0							
95251989	61	244	0							
95251989	72	316	0							
95251989	79	395	0							
95251989	80	475	0							
95251989	81	1000081	1							
95251989	87	1000087	1							
95251989	96	1000096	1							
95251989	102	1000102	1							
95251989	107	1000107	1							
95251989	107	1000107	1							
95251989	116	1000116	1							
95251989	122	1000122	1							
95433486	31	31	0							
95433486	42	73	0							
95433486	43	116	0							
95433486	53	169	0							
95433486	60	229	0							
95433486	65	294	0							
95433486	71	365	0							
95433486	79	444	0							
95433486	90	1000090	1							
95433486	97	1000097	1							
96605874	36	36	0							
96605874	45	81	0							
96605874	57	138	0							
96605874	65	203	0							
96605874	70	273	0							
96605874	80	353	0							
96605874	92	445	0							
96605874	99	1000099	1							
96605874	104	1000104	1							
96605874	115	1000115	1							
96605874	123	1000123	1							
96605874	132	1000132	1							
96605874	135	1000135	1							
96605874	147	1000147	1							
96605874	152	1000152	1							
96605874	163	1000163	1							
96605874	172	1000172	1							
97815725	36	36	0							
97815725	43	79	0							
97815725	49	128	0							
